"","Sample","Prep_library","N_primer","S_primer","Library","Stage","Individual","Sample.1","Type","Sorting_date","Plate","ERCC","Library_date","Seq_type","Bases","Reads","groups"
"P3504_1149","P3504_1149","S289","N707","S505","L870","P2","m2","single","cell","5/12/2015","1-3/C2",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1150","P3504_1150","S290","N707","S506","L874","P2","m2","single","cell","5/12/2015","1-3/G2",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1152","P3504_1152","S292","N707","S508","L879","P2","m2","single","cell","5/12/2015","1-3/D3",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1153","P3504_1153","S293","N708","S517","L882","P2","m2","single","cell","5/12/2015","1-3/G3",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1154","P3504_1154","S294","N708","S502","L886","P21","m1","single","cell","3/12/2015","1-4/C1",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1155","P3504_1155","S295","N708","S503","L887","P21","m1","single","cell","3/12/2015","1-4/D1",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1156","P3504_1156","S296","N708","S504","L889","P21","m1","single","cell","3/12/2015","1-4/F1",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1157","P3504_1157","S297","N708","S505","L892","P21","m1","single","cell","3/12/2015","1-4/A2",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1158","P3504_1158","S298","N708","S506","L894","P21","m1","single","cell","3/12/2015","1-4/C2",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1160","P3504_1160","S300","N708","S508","L901","P21","m1","single","cell","3/12/2015","1-4/B3",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1161","P3504_1161","S301","N709","S517","L903","P21","m1","single","cell","3/12/2015","1-4/D3",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1162","P3504_1162","S302","N709","S502","L912","P60","m1","single","cell","2/5/2015","1-2/E1",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1163","P3504_1163","S303","N709","S503","L913","P60","m1","single","cell","2/5/2015","1-2/F1",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1164","P3504_1164","S304","N709","S504","L914","P60","m1","single","cell","2/5/2015","1-2/G1",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1165","P3504_1165","S305","N709","S505","L916","P60","m1","single","cell","2/5/2015","1-2/A2",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1166","P3504_1166","S306","N709","S506","L918","P60","m1","single","cell","2/5/2015","1-2/C2",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1167","P3504_1167","S307","N709","S507","L919","P60","m1","single","cell","2/5/2015","1-2/D2",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1168","P3504_1168","S308","N709","S508","L920","P60","m1","single","cell","2/5/2015","1-2/E2",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1169","P3504_1169","S309","N710","S517","L928","P60","m1","single","cell","2/5/2015","1-2/E3",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1170","P3504_1170","S310","N710","S502","L930","P60","m1","single","cell","2/5/2015","1-2/G3",1410014,"10/26/2015","single-end","50bp","150M","adult"
"P3504_1173","P3504_1173","S313","N710","S505","L942","E19.5","m2","single","cell","6/23/2015","2-1/C2",1410014,"11/3/2015","single-end","50bp","150M","adult"
"P3504_1174","P3504_1174","S314","N710","S506","L943","E19.5","m2","single","cell","6/23/2015","2-1/D2",1410014,"11/3/2015","single-end","50bp","150M","adult"
"P3504_1175","P3504_1175","S315","N710","S507","L945","E19.5","m2","single","cell","6/23/2015","2-1/F2",1410014,"11/3/2015","single-end","50bp","150M","adult"
"P3504_1176","P3504_1176","S316","N710","S508","L946","E19.5","m2","single","cell","6/23/2015","2-1/G2",1410014,"11/3/2015","single-end","50bp","150M","adult"
"P3504_1178","P3504_1178","S318","N711","S502","L973","E16","m1","single","cell","11/1/2015","1-1/B3",1410014,"11/3/2015","single-end","50bp","150M","unknown"
"P3504_1179","P3504_1179","S319","N711","S503","L950","E19.5","m2","single","cell","6/23/2015","2-1/C3",1410014,"11/3/2015","single-end","50bp","150M","adult"
"P3504_1180","P3504_1180","S320","N711","S504","L952","E19.5","m2","single","cell","6/23/2015","2-1/E3",1410014,"11/3/2015","single-end","50bp","150M","adult"
"P3504_1181","P3504_1181","S321","N711","S505","L956","E16","m1","single","cell","11/1/2015","1-1/A1",1410014,"11/3/2015","single-end","50bp","150M","unknown"
"P3504_1182","P3504_1182","S322","N711","S506","L958","E16","m1","single","cell","11/1/2015","1-1/C1",1410014,"11/3/2015","single-end","50bp","150M","unknown"
"P3504_1183","P3504_1183","S323","N711","S507","L959","E16","m1","single","cell","11/1/2015","1-1/D1",1410014,"11/3/2015","single-end","50bp","150M","unknown"
"P3504_1184","P3504_1184","S324","N711","S508","L961","E16","m1","single","cell","11/1/2015","1-1/F1",1410014,"11/3/2015","single-end","50bp","150M","unknown"
"P3504_1185","P3504_1185","S325","N712","S517","L962","E16","m1","single","cell","11/1/2015","1-1/G1",1410014,"11/3/2015","single-end","50bp","150M","unknown"
"P3504_1187","P3504_1187","S327","N712","S503","L964","E16","m1","single","cell","11/1/2015","1-1/A2",1410014,"11/3/2015","single-end","50bp","150M","unknown"
"P3504_1188","P3504_1188","S328","N712","S504","L966","E16","m1","single","cell","11/1/2015","1-1/C2",1410014,"11/3/2015","single-end","50bp","150M","unknown"
"P3504_1189","P3504_1189","S329","N712","S505","L968","E16","m1","single","cell","11/1/2015","1-1/E2",1410014,"11/3/2015","single-end","50bp","150M","unknown"
"P3504_1190","P3504_1190","S330","N712","S506","L970","E16","m1","single","cell","11/1/2015","1-1/G2",1410014,"11/3/2015","single-end","50bp","150M","unknown"
"P3504_1191","P3504_1191","S331","N712","S507","L1008","P21","m7","single","cell","3/12/2015","3-3/E1",1410014,"11/5/2015","single-end","50bp","150M","adult"
"P3504_1192","P3504_1192","S332","N712","S508","L1009","P21","m7","single","cell","3/12/2015","3-3/F1",1410014,"11/5/2015","single-end","50bp","150M","adult"
"P4730_1001","P4730_1001","S333","N701","S517","L977","E16","m1","single","cell","11/1/2015","1-1/F3",1410014,"11/3/2015","single-end","50bp","150M","unknown"
"P4730_1002","P4730_1002","S334","N701","S502","L978","E16","m1","single","cell","11/1/2015","1-1/G3",1410014,"11/3/2015","single-end","50bp","150M","unknown"
"P4730_1007","P4730_1007","S343","N702","S503","L1140","E16","m1","single","cell","11/1/2015","1-2/A1",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1008","P4730_1008","S344","N702","S504","L1143","E16","m1","single","cell","11/1/2015","1-2/D1",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1009","P4730_1009","S349","N703","S517","L1153","E16","m1","single","cell","11/1/2015","1-2/F2",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1012","P4730_1012","S352","N703","S504","L1167","E16","m2","single","cell","11/1/2015","2-1/D1",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1013","P4730_1013","S357","N704","S517","L1177","E16","m2","single","cell","11/1/2015","2-1/F2",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1014","P4730_1014","S358","N704","S502","L1180","E16","m2","single","cell","11/1/2015","2-1/A3",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1015","P4730_1015","S359","N704","S503","L1181","E16","m2","single","cell","11/1/2015","2-1/B3",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1016","P4730_1016","S360","N704","S504","L1182","E16","m2","single","cell","11/1/2015","2-1/C3",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1017","P4730_1017","S365","N705","S517","L1237","E16","m2","single","cell","11/1/2015","2-3/B1",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1018","P4730_1018","S366","N705","S502","L1240","E16","m2","single","cell","11/1/2015","2-3/E1",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1019","P4730_1019","S367","N705","S503","L1141","E16","m2","single","cell","11/1/2015","2-3/F1",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1020","P4730_1020","S368","N705","S504","L1142","E16","m2","single","cell","11/1/2015","2-3/G1",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1021","P4730_1021","S373","N706","S517","L1264","E16","m4","single","cell","11/1/2015","4-1/E1",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1022","P4730_1022","S374","N706","S502","L1266","E16","m4","single","cell","11/1/2015","4-1/G1",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1023","P4730_1023","S375","N706","S503","L1271","E16","m4","single","cell","11/1/2015","4-1/D2",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1024","P4730_1024","S376","N706","S504","L1272","E16","m4","single","cell","11/1/2015","4-1/E2",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1029","P4730_1029","S149","N702","S517","L300","P2","m2","single","cell","5/12/2015","1-2/A1",1410014,"6/4/2015","single-end","50bp","150M","adult"
"P4730_1030","P4730_1030","S346","N702","S502","L1145","E16","m1","single","cell","11/1/2015","1-2/F1",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1032","P4730_1032","S348","N702","S504","L1150","E16","m1","single","cell","11/1/2015","1-2/C2",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1034","P4730_1034","S354","N703","S502","L1172","E16","m2","single","cell","11/1/2015","2-1/A2",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1035","P4730_1035","S355","N703","S503","L1174","E16","m2","single","cell","11/1/2015","2-1/C2",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1036","P4730_1036","S356","N703","S504","L1176","E16","m2","single","cell","11/1/2015","2-1/D2",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1037","P4730_1037","S361","N704","S517","L1183","E16","m2","single","cell","11/1/2015","2-1/D3",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1038","P4730_1038","S362","N704","S502","L1184","E16","m2","single","cell","11/1/2015","2-1/E3",1410014,"3/21/2016","single-end","50bp","150M","unknown"
"P4730_1041","P4730_1041","S369","N705","S517","L1245","E16","m2","single","cell","11/1/2015","2-3/B2",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1042","P4730_1042","S370","N705","S502","L1248","E16","m2","single","cell","11/1/2015","2-3/E2",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1043","P4730_1043","S371","N705","S503","L1262","E16","m4","single","cell","11/1/2015","4-1/C1",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1044","P4730_1044","S372","N705","S504","L1263","E16","m4","single","cell","11/1/2015","4-1/D1",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1045","P4730_1045","S377","N706","S517","L1273","E16","m4","single","cell","11/1/2015","4-1/F2",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1046","P4730_1046","S378","N706","S502","L1274","E16","m4","single","cell","11/1/2015","4-1/G2",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1047","P4730_1047","S379","N706","S503","L1276","E16","m4","single","cell","11/1/2015","4-1/A3",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P4730_1048","P4730_1048","S380","N706","S504","L1278","E16","m4","single","cell","11/1/2015","4-1/C3",1410014,"3/25/2016","single-end","50bp","150M","unknown"
"P7657_1001","P7657_1001","S381","N701","S517","L996","P21","m1","single","cell","3/12/2015","3-2/A3",1410014,"11/5/2015","single-end","50bp","150M","adult"
"P7657_1002","P7657_1002","S382","N701","S502","L997","P21","m1","single","cell","3/12/2015","3-2/B3",1410014,"11/5/2015","single-end","50bp","150M","adult"
