"","Sample","Prep_library","N_primer","S_primer","Library","Stage","Individual","Sample.1","Type","Sorting_date","Plate","ERCC","Library_date","Seq_type","Bases","Reads","groups"
"P7657_1074","P7657_1074","S454","N710","S502","L1354","P21","m1","single","cell","3/12/2015","3-1/G3",1410014,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1075","P7657_1075","S455","N710","S503","L1356","P60","m1","single","cell","1/15/2015","2-2/A1",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1076","P7657_1076","S456","N710","S504","L1360","P60","m1","single","cell","1/15/2015","2-2/E1",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1077","P7657_1077","S457","N710","S505","L1361","P60","m1","single","cell","1/15/2015","2-2/F1",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1078","P7657_1078","S458","N710","S506","L1363","P60","m1","single","cell","1/15/2015","2-2/H1",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1079","P7657_1079","S459","N710","S507","L1364","P60","m1","single","cell","1/15/2015","2-2/A2",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1080","P7657_1080","S460","N710","S508","L1365","P60","m1","single","cell","1/15/2015","2-2/B2",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1081","P7657_1081","S461","N711","S517","L1366","P60","m1","single","cell","1/15/2015","2-2/C2",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1082","P7657_1082","S462","N711","S502","L1367","P60","m1","single","cell","1/15/2015","2-2/D2",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1083","P7657_1083","S463","N711","S503","L1369","P60","m1","single","cell","1/15/2015","2-2/F2",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1084","P7657_1084","S464","N711","S504","L1371","P60","m1","single","cell","1/15/2015","2-2/H2",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1085","P7657_1085","S465","N711","S505","L1374","P60","m1","single","cell","1/15/2015","2-2/C3",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1086","P7657_1086","S466","N711","S506","L1375","P60","m1","single","cell","1/15/2015","2-2/D3",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1087","P7657_1087","S467","N711","S507","L1376","P60","m1","single","cell","1/15/2015","2-2/E3",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1088","P7657_1088","S468","N711","S508","L1379","P60","m1","single","cell","1/15/2015","2-2/H3",1310010,"11/15/2016","single-end","50bp","150M","adult"
"P7657_1089","P7657_1089","S469","N712","S517","L1380","P2","m2","single","cell","2/5/2015","1-4/A1",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1090","P7657_1090","S470","N712","S502","L1383","P2","m2","single","cell","2/5/2015","1-4/D1",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1091","P7657_1091","S471","N712","S503","L1385","P2","m2","single","cell","2/5/2015","1-4/F1",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1092","P7657_1092","S472","N712","S504","L1393","P2","m2","single","cell","2/5/2015","1-4/F2",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1093","P7657_1093","S473","N712","S505","L1394","P2","m2","single","cell","2/5/2015","1-4/G2",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1094","P7657_1094","S474","N712","S506","L1396","P2","m2","single","cell","2/5/2015","1-4/A3",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1095","P7657_1095","S475","N712","S507","L1397","P2","m2","single","cell","2/5/2015","1-4/B3",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1096","P7657_1096","S476","N712","S508","L1398","P2","m2","single","cell","2/5/2015","1-4/C3",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1097","P7657_1097","S477","N701","S517","L1400","P2","m2","single","cell","2/5/2015","1-4/E3",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1098","P7657_1098","S478","N701","S502","L1401","P2","m2","single","cell","2/5/2015","1-4/F3",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1099","P7657_1099","S479","N701","S503","L1404","P60","m1","single","cell","2/5/2015","1-3/A1",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1100","P7657_1100","S480","N701","S504","L1406","P60","m1","single","cell","2/5/2015","1-3/C1",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1101","P7657_1101","S481","N701","S505","L1407","P60","m1","single","cell","2/5/2015","1-3/D1",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1102","P7657_1102","S482","N701","S506","L1408","P60","m1","single","cell","2/5/2015","1-3/E1",1410014,"11/26/2016","single-end","50bp","150M","adult"
"P7657_1103","P7657_1103","S483","N701","S507","L1409","P60","m1","single","cell","2/5/2015","1-3/F1",1410014,"11/26/2016","single-end","50bp","150M","adult"
